  #  char      L*   norm  gray  hex      bar
--------------------------------------------------------------
 90   .     14.63  0.000    22  #161616
 62   `     15.01  0.011    22  #161616
 85   :     20.52  0.178    27  #1B1B1B  #####
 86   '     20.65  0.182    27  #1B1B1B  #####
 88   ,     21.00  0.192    27  #1B1B1B  #####
 74   -     23.43  0.266    29  #1D1D1D  #######
 75   _     23.43  0.266    29  #1D1D1D  #######
 84   ;     25.34  0.323    32  #202020  #########
 69   ^     26.07  0.345    34  #222222  ##########
 64   !     27.26  0.381    35  #232323  ###########
 63   ~     28.28  0.412    36  #242424  ############
 87   "     28.98  0.433    36  #242424  ############
 77   +     31.60  0.512    40  #282828  ##############
 76   =     32.47  0.538    41  #292929  ###############
 89   <     32.49  0.539    44  #2C2C2C  ###############
 91   >     32.82  0.549    44  #2C2C2C  ###############
 82   \     32.83  0.549    44  #2C2C2C  ###############
 92   /     32.86  0.550    44  #2C2C2C  ###############
 83   |     33.00  0.554    42  #2A2A2A  ################
 93   ?     33.61  0.573    45  #2D2D2D  ################
 71   *     33.68  0.575    46  #2E2E2E  ################
 12   c     34.61  0.603    46  #2E2E2E  #################
 47   L     34.74  0.607    47  #2F2F2F  #################
 31   v     34.75  0.607    47  #2F2F2F  #################
 55   T     34.86  0.610    45  #2D2D2D  #################
 33   x     35.49  0.629    48  #303030  ##################
 60   Y     35.99  0.644    49  #313131  ##################
 21   l     36.28  0.653    46  #2E2E2E  ##################
 72   (     36.62  0.663    51  #333333  ###################
 18   i     36.66  0.665    50  #323232  ###################
 80   ]     36.83  0.670    52  #343434  ###################
 73   )     36.97  0.674    50  #323232  ###################
  1   1     37.06  0.677    51  #333333  ###################
 29   t     37.10  0.678    51  #333333  ###################
 28   s     37.14  0.679    51  #333333  ###################
 23   n     37.19  0.680    50  #323232  ###################
 78   [     37.22  0.681    52  #343434  ###################
 35   z     37.36  0.686    51  #333333  ###################
 79   {     37.44  0.688    51  #333333  ###################
 30   u     37.55  0.691    53  #353535  ###################
 27   r     37.56  0.692    51  #333333  ###################
 45   J     37.82  0.700    53  #353535  ####################
 24   o     38.05  0.707    53  #353535  ####################
 19   j     38.13  0.709    54  #363636  ####################
 44   I     38.50  0.720    53  #353535  ####################
 14   e     38.55  0.722    54  #363636  ####################
 41   F     38.57  0.722    54  #363636  ####################
 38   C     38.61  0.723    54  #363636  ####################
  7   7     38.67  0.725    53  #353535  ####################
 15   f     38.75  0.728    52  #343434  ####################
 34   y     39.13  0.739    56  #383838  #####################
  3   3     39.48  0.750    57  #393939  #####################
 10   a     39.64  0.754    56  #383838  #####################
 81   }     39.69  0.756    52  #343434  #####################
 61   Z     39.94  0.763    57  #393939  #####################
 59   X     39.96  0.764    58  #3A3A3A  #####################
  2   2     40.03  0.766    57  #393939  #####################
 57   V     40.07  0.767    58  #3A3A3A  #####################
 54   S     40.20  0.771    58  #3A3A3A  ######################
 56   U     40.44  0.779    60  #3C3C3C  ######################
 17   h     40.55  0.782    58  #3A3A3A  ######################
 32   w     41.30  0.804    61  #3D3D3D  #######################
  4   4     41.42  0.808    61  #3D3D3D  #######################
 25   p     41.69  0.816    62  #3E3E3E  #######################
 43   H     41.85  0.821    63  #3F3F3F  #######################
  5   5     41.90  0.823    62  #3E3E3E  #######################
 20   k     42.20  0.832    62  #3E3E3E  #######################
 51   P     42.20  0.832    63  #3F3F3F  #######################
 36   A     42.24  0.833    62  #3E3E3E  #######################
  9   9     42.43  0.839    64  #404040  #######################
  6   6     42.47  0.840    64  #404040  ########################
 26   q     42.48  0.840    60  #3C3C3C  ########################
 40   E     42.58  0.843    63  #3F3F3F  ########################
 68   %     42.63  0.845    67  #434343  ########################
 46   K     42.71  0.847    65  #414141  ########################
 42   G     42.89  0.853    64  #404040  ########################
 11   b     42.96  0.855    65  #414141  ########################
 13   d     43.29  0.865    62  #3E3E3E  ########################
 22   m     43.40  0.868    64  #404040  ########################
 50   O     43.70  0.877    65  #414141  #########################
  8   8     44.19  0.892    68  #444444  #########################
 49   N     44.35  0.896    71  #474747  #########################
  0   0     44.48  0.900    70  #464646  #########################
 39   D     44.52  0.902    68  #444444  #########################
 66   #     44.87  0.912    68  #444444  ##########################
 53   R     45.22  0.923    70  #464646  ##########################
 16   g     45.37  0.927    68  #444444  ##########################
 70   &     45.68  0.937    71  #474747  ##########################
 67   $     46.20  0.952    73  #494949  ###########################
 37   B     46.24  0.954    73  #494949  ###########################
 48   M     46.30  0.955    75  #4B4B4B  ###########################
 52   Q     46.89  0.973    74  #4A4A4A  ###########################
 58   W     47.07  0.979    77  #4D4D4D  ###########################
 65   @     47.78  1.000    80  #505050  ############################

dark -> light ramp:
.`:',-_;^!~"+=<>\/|?*cLvTxYl(i])1tsn[z{urJojIeFC7fy3a}ZX2VSUhw4pH5kPA96qE%KGbdmO8N0D#Rg&$BMQW@
